,Joke,Category
0,Why did the chicken cross the road? To get to the other side,Traditional
1,"A skeleton walks into a bar. He says, give me a beer and a mop",Traditional
2,I'm afraid for the calendar. Its days are numbered.,Traditional
3,My wife said I should do lunges to stay in shape. That would be a big step forward.,Traditional
4,Why do fathers take an extra pair of socks when they go golfing? In case they get a hole in one!,Traditional
5,Singing in the shower is fun until you get soap in your mouth. Then it's a soap opera.,Traditional
6,"If April showers bring May flowers, what do May flowers bring? Pilgrims.",Traditional
7,I thought the dryer was shrinking my clothes. Turns out it was the refrigerator all along.,Traditional
8,"Dear Math, grow up and solve your own problems.",Traditional
9,Have you heard about the chocolate record player? It sounds pretty sweet.,Traditional
10,"What did the ocean say to the beach? Nothing, it just waved.",Traditional
11,What did one wall say to the other? I'll meet you at the corner.,Traditional
12,What did Baby Corn say to Mama Corn? Where's Pop Corn?,Traditional
13,"What does a sprinter eat before a race? Nothing, they fast!",Traditional
14,What has more letters than the alphabet? The post office!,Traditional
15,I don't trust those trees. They seem kind of shady.,Traditional
16,My wife is really mad at the fact that I have no sense of direction. So I packed up my stuff and right!,Traditional
17,How do you get a squirrel to like you? Act like a nut.,Traditional
18,Why don't eggs tell jokes? They'd crack each other up.,Traditional
19,"Did you hear the rumor about butter? Well, I'm not going to spread it!",Traditional
20,This graveyard looks overcrowded. People must be dying to get in.,Traditional
21,How does a taco say grace? Lettuce pray.,Traditional
22,What did the janitor say when he jumped out of the closet? Supplies!,Traditional
23,Why did the math book look so sad? Because of all of its problems!,Traditional
24,"I used to be addicted to soap, but I'm clean now.",Traditional
25,"When two vegans get in an argument, is it still called a beef?",Traditional
26,That car looks nice but the muffler seems exhausted.,Traditional
27,"They all laughed when I said I wanted to be a comedian. Well, they're not laughing now! Wait…",Traditional
28,Hear about the new restaurant called Karma? There's no menu—you get what you deserve.,Traditional
29,Will glass coffins be a success? Remains to be seen.,Traditional
30,"Two windmills are standing in a wind farm. One asks, What's your favorite kind of music? The other says, I'm a big metal fan.",Traditional
31,What did the swordfish say to the marlin? You're looking sharp.,Traditional
32,I stand corrected! said the man in the orthopedic shoes.,Traditional
33,What did one plate whisper to the other plate? Dinner is on me.,Traditional
34,Why didn’t the teddy bear eat dessert? He was stuffed.,Traditional
35,It's hard to explain puns to kleptomaniacs. They always take things so literally,Traditional
36,What sits at the bottom of the sea and twitches? A nervous wreck,Traditional
37,How does a squid go into battle? Well armed.,Traditional
38,Why do you smear peanut butter in the road? To go with the traffic jam.,Traditional
